Specimen_Number,Preservation,Order,Family,Genus,Species,Sex,thorax_length,thorax_width,thorax_depth,left_forewing_length,left_forewing_width,left_hindwing_length,left_hindwing_width,right_forewing_length,right_forewing_width,right_hindwing_length,right_hindwing_width
988154,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,f,6.8,3.6,5.9,33.6,9.9,32.3,9.1,33.7,9.7,32.2,9
988156,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,f,6.5,4.1,4.9,33.5,9.1,32.7,8.7,33.6,9,32.4,8.4
988160,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,f,6.5,3.6,4.2,33.2,9.1,31.8,8.7,33,9,31.6,8.7
988153,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,f,6.9,3.8,4.9,33.2,8.9,32.1,8.7,33.2,8.9,32.1,8.5
988157,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,f,6.8,3.6,4.3,33.1,9.8,32.3,9.1,33.3,9.9,32.1,9.1
988159,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,f,6.7,3.8,4.1,33,9.4,32.1,9.4,33.3,9.4,32,9.4
988149,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,m,6.5,3.8,5.2,32.3,9.4,30.4,9.2,32.1,9.5,30.6,9.1
988147,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,m,6.9,4.1,5,31.2,9.6,29.2,9.4,31.3,9.7,29.2,9.4
988148,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,m,6.5,3.9,4.6,30.8,9.1,29.6,9.5,31,9.3,29.6,9.1
988151,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,m,6.7,3.7,4.4,30.7,9.1,29.2,9.4,30.4,9.1,29.4,9
988152,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,m,6.9,4,4.7,30.6,9.2,29.7,9,30.4,9.2,29.5,9.1
988146,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,m,6.7,3.6,4.7,29.6,9.1,29.3,9.6,29.7,8.9,29.4,9.4
988150,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,m,6.5,4.1,5.4,29.2,9.4,28.6,9.4,29.2,9.1,28.5,9.3
988145,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,m,6.9,3.3,4.8,28.8,8.8,28.5,8.6,28.9,8.7,28.3,8.6
988139,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,7.1,4,5.5,37.2,10.2,36.5,10.2,37.2,10.4,36.6,10.2
988143,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,6.5,3.3,3.8,35.2,10,34.9,9.6,35.3,9.8,34.3,10
988144,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,6.3,3.6,3.8,34.4,10,34,9.7,34.1,9.8,33.8,9.7
988140,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,6.8,3.7,4.8,34.2,10.8,34.1,10.1,34.3,10.9,33.5,10.2
988141,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,6.8,4.2,5.1,33.9,9.8,32.8,9.9,34.1,10,33.6,9.8
988142,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,7,3.1,4.9,33.6,9.9,33,9.2,33.4,9.6,32.7,9.4
988129,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,6.8,4.2,4.7,33.3,11.6,32.6,11.4,33.1,11.4,32.4,11.4
988131,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,6.8,3.9,5.2,33.3,11.3,32.2,11,33.2,11.5,32.3,11
988136,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,6.5,3.8,5.2,32.8,10.8,32.2,10.4,33,10.6,32.4,10.7
988130,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,7.2,4.2,5.4,32.6,11.2,32.3,11,32.9,11.2,32.6,11.1
988138,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,6.5,4.1,5.5,32.6,9.8,32.6,9.6,32.5,9.9,32.6,9.7
